uuid,Name,"Max Voltage, dBV","Max Current, dB(mA)","Impedance , ohm"
2a614687-1850-4a74-88ec-86c1d432eda6,iBasso DX240 AMP1 Mk3 Balanced Out,15.42,43.32,0.55
d9707c45-0cc7-4fed-87b2-cf14d1d47e8d,iBasso DX240 AMP1 Mk3 Single-ended Out,9.38,42.24,0.29
fd739201-dae0-4ee5-a3a8-2dcfc74bcaef,iBasso DX240 AMP8 MK2 Balanced Out,15.33,14.02,0.52
86ec6044-c5b0-431d-ac2d-be26c0fd79bb,iBasso DX240 AMP8 MK2 Single-ended Out,9.29,15.06,0.3
c04eee93-23d9-4abd-9d6d-09668f964a1b,iBasso DX80,7.43,24.31,0.19
43033507-e695-463f-b2a3-e870c62d82fb,IBM ThinkPad X31,-12.08,-15.39,70.02
4e1dd882-98e3-4ec8-b8fc-2d6fbedb0626,iFi Hipdac Hi Gain Balanced Out,10.68,5.21,0.08
552daf7c-c08b-4c7d-9c83-6762640285a5,iFi Hipdac Hi Gain Balanced Out,4.66,9.48,0.08
52283354-363e-49b8-91e4-5e8de333af1e,iFi Hipdac Low Gain Balanced Out,5.52,8.3,0.1
69ad52a9-e9ad-4439-9b9d-5fa9c65ce222,iFi Hipdac Low Gain Balanced Out,-0.19,6.8,0.1
78972c4b-5e5e-4f5d-b757-0cf96d6eca21,iFi iDSD Diablo Eco Mode Balanced Out,9.03,32.93,0.31
d93af4ff-886e-4dc5-99f7-4c4e4cb28751,iFi iDSD Diablo Eco Mode Single-ended Out,3.99,39.84,0.14
8e769c50-14f1-4f16-a7e3-5f5000c1ce9e,iFi iDSD Diablo Normal Mode Balanced Out,10.94,33.85,0.34
4d7c1633-91ad-4576-b657-8e9a95183b88,iFi iDSD Diablo Normal Mode Single-ended Out,5.01,39.12,0.14
fce21702-2495-4225-8b2f-16a79188bee6,iFi iDSD Diablo Turbo Mode Balanced Out,18.53,38.71,0.34
b60ecda4-b928-4056-af80-430bd8532ddc,iFi iDSD Diablo Turbo Mode Single-ended Out,12.61,46.64,0.14
ac494d9a-5e0c-493d-9284-ffe41e3e3d4e,iFi Micro iDSD Black Label Eco,6.63,38.35,0.15
71029a8f-3f53-4ac4-a499-22afcbdad6ee,iFi Micro iDSD Black Label Mid,12.26,32.39,0.14
d4b62d10-b038-4ecf-9b09-6fdd1dd36695,iFi Micro iDSD Black Label Turbo,19.0,47.05,0.16
7bbdc5ba-fd7c-41e5-ac4e-78894480fbf0,iFi NEO iDSD Balanced Out,5.95,19.06,0.47
22021bb7-93ab-4199-a2d2-e808f4428001,iFi NEO iDSD Single-ended Out,7.99,31.85,0.25
d16da54c-6ec3-4e32-9850-11f5e264cc06,iFi Pro iDSD Solid-State Hi Gain Balanced Out,17.32,32.64,2.69
573d2a82-48f6-4932-a841-f1c736b6ebf3,iFi Pro iDSD Solid-State Hi Gain Single-ended Out,10.37,36.31,2.51
d52cd885-a24c-4b37-8ba7-7b7f416eac7a,iFi Pro iDSD Tube Hi Gain Balanced Out,14.55,31.75,2.92
a8652cca-3310-478f-be04-f775625c0c28,iFi Pro iDSD Tube Hi Gain Single-ended Out,8.84,29.75,2.61
16f41c41-6417-40a2-b971-210b92695d9a,iFi Pro iDSD Tube+ Hi Gain Balanced Out,18.61,34.39,2.95
77349b5a-7acb-4e7b-b343-7f88124f64fd,iFi Pro iDSD Tube+ Hi Gain Single-ended Out,11.78,34.57,2.61
f3dfc5db-5930-4587-8fcc-440ce0ce6d1c,iFi ZEN CAN Signature 6XX (+18 dB) Balanced Out,19.62,34.25,0.55
d7ff7e46-d529-42f5-b70c-17d75bb72d05,iFi ZEN CAN Signature 6XX (+18 dB) Single-ended Out,1.76,33.34,0.35
2f97df8e-8cca-4e2c-a8d8-b3335b4d5ba4,iFi ZEN DAC Power Match Off Balanced Out,6.01,5.76,0.18
dca84200-05a5-43d5-abdd-d9e0b4576c9d,iFi ZEN DAC Power Match Off Single-ended Out,-0.01,11.58,0.19
c1b9b601-6a17-428a-92d1-e6450169aee4,iFi ZEN DAC Power Match On Balanced Out,4.05,1.96,0.22
a1e4a2c7-66ec-483d-83fe-f31d6473b315,iFi ZEN DAC Power Match On Single-ended Out,4.15,8.33,0.19
4946c980-11b1-48c8-aa43-f124b69cdaff,iFi ZEN DAC V2 Power Match Off Balanced Out,1.21,5.85,0.24
a143526c-dab7-4403-b8c5-52a15cad8dea,iFi ZEN DAC V2 Power Match On Balanced Out,3.99,10.09,0.27
ab1bf834-89cd-41a8-8a08-3d3fdef9801a,iFi ZEN DAC V2 Power Match On Single-ended Out,3.49,11.16,0.12
c3bdd7f2-d77b-4c61-b4fb-9415acc5bf1c,iFi ZEN DAC V2 Single Power Match Off,-1.82,10.46,0.12
b387c5a4-fdca-4167-8b7b-002cae6f49d7,Inakustik Premium Headphone Amp. No. 1 Out 1,4.64,9.92,5.77
1c2dd328-73e4-44bd-a366-357317074e9f,Inakustik Premium Headphone Amp. No. 1 Out 2,4.32,9.75,6.09
0d6d3038-d804-4555-97b1-76733549840e,KEF Bluetooth Receiver Motion One,8.59,44.03,1.61
4d9421d9-de58-42a0-b401-d6182ab689b5,Kennerton Atlas EVGA Nu Audio,6.14,35.62,8.63
4fba59da-09c1-4c05-a273-1315e580effb,Kennerton Atlas Internal DAC,2.19,30.06,8.81
d3b35004-d4f7-4a5e-995f-7df067d95749,Kennerton Atlas Robitron,7.1,36.2,8.69
2fda1bc3-7c67-489b-989e-2ac56b5458cf,Kennerton Ego,2.59,22.09,8.24
be29fc03-67b1-424e-afd4-6e3387246abf,KGUSS DAC-K3,-2.92,24.68,10.16
8a51f671-9c7b-4921-83b6-723a67d41744,KZ Bluetooth module,-10.42,-4.22,0.92
8ed83af6-d98b-4b39-91b1-690bd9dd3326,Laconic Lunch BOX HA-06 PRO Hi Gain,11.52,18.19,55.35
29096db3-aeb0-4bcf-ac04-39dd6f5d1108,Laconic Lunch BOX HA-06 PRO Low Gain,10.23,20.67,180.97
b1f60363-be56-4ada-bb1a-ea683f54ceb2,Leaf Audio CMD-22 V1.2.3 Gliese LT1361,16.21,27.48,10.74
30eb8281-a785-4db7-b293-6656c3beaae8,Lisk Audio UX3-MOD3,11.86,33.13,0.12
6cccbc1f-3e4a-43e3-8b6f-372f68be57a3,Logan Musical Yuer 2i2,2.83,7.18,4.75
09a42709-0969-42d9-a56c-6097b46f838e,Lotoo PAW 5000 MKII Balanced Out,7.97,27.06,2.0
75137f7f-1cc3-484e-b484-c97fe7c0e252,Lotoo PAW 5000 MKII Single-ended Out,7.96,29.13,1.62
3a423ccc-b206-4502-becf-2457a673e438,Lotoo PAW 6000 Balanced Out,9.8,37.87,1.73
795ad42e-aace-44f0-9b84-da2eed515783,Lotoo PAW 6000 Single-ended Out,5.29,36.16,0.5
afae636b-6aa1-46a2-aadb-77d8733a5195,Lotoo Paw Gold,6.97,21.83,1.8
39a77994-3630-4a9e-93cf-fa1ae4050452,Lotoo PAW Pico,-7.08,3.06,1.4
d53427f7-61ae-4799-b95c-0a1594c6c98c,Loxjie D20 Current Max Mode,12.02,27.9,1.02
78a5958a-b606-4028-a1cc-ff1eb01b8bd2,Loxjie D20 Current Mid Mode,12.02,30.07,1.02
501c8058-42dd-48af-9e72-43f202466575,Loxjie D20 Current Min Mode,12.03,27.67,1.02
ce61a340-8c0c-4cc6-b2e9-71568f41ec97,Loxjie P20 Balanced Out,19.43,31.47,46.63
c1941f35-abe6-405b-9291-e4a7c0c089ba,Loxjie P20 Default Power Single-ended Out,13.51,31.08,23.34
36bce15f-b4d7-4ec8-9fba-696a3f74c66e,Loxjie P20 Linear Power Single-ended Out,13.51,31.8,23.34
a90e5daf-766f-4def-8b09-caae3f3ee40d,Luxury & Precision L3 DSD Balanced Out,-4.53,23.11,5.0
79178a23-63ce-4164-a6ac-bcc19366e022,Luxury & Precision L3 DSD Single-ended Out,1.42,21.11,2.36
f2d0db9e-8af9-4f6f-96f0-ed9eba02e79e,Luxury & Precision L3 Pro DSD Balanced Out,1.55,25.55,4.73
daaeaf4e-e12c-4be6-aa27-8defb3e9c162,Luxury & Precision L3 Pro DSD Single-ended Out,1.55,36.38,2.32
8b8ab694-5d86-414d-98ce-ee6d33573bb9,Luxury & Precision L5 Pro,9.12,31.41,3.66
075defe4-6f2e-40db-98b7-59fcd379e733,Luxury & Precision P6 Pro Balanced Out,11.75,39.0,0.62
6ea51f23-f3ea-4102-854d-7e12682cd309,Luxury & Precision P6 Pro Single-ended Out,7.7,39.39,0.25
042216de-3da0-49bf-b209-794b402221cd,Luxury & Precision W2 Balanced Out,10.83,28.05,0.44
aa728a24-6d9c-4083-b661-23d6812c498b,Luxury & Precision W2 Single-ended Out,4.8,14.89,0.15
37ebd027-777d-4d39-9da2-1fe5bd7c89af,Luxury & Precision W2-131 Balanced Out,11.89,25.17,0.46
4cb5b5d3-1a10-4190-a80c-6d020c551db6,Luxury & Precision W2-131 Single-ended Out,5.85,12.41,0.28
8b791ce3-d652-4663-a1f4-b37d90e8fcce,Lynx Audio HA-61,19.01,44.34,2.16
0cab4ca4-b114-4ffa-88f0-eea4ad9f8066,M-Audio FireWire Solo,8.31,8.42,73.74
13530d83-8541-4a5b-bc88-b95b1f6baf51,Mackie Onyx Artist 12,7.9,11.23,3.45
25a4b21d-9397-4348-8761-6a9ff7dc746d,McIntosh MHA50 Hi Gain,-18.55,16.06,0.56
ad071d9b-2c02-4c0b-8e26-bce8277c2be2,McIntosh MHA50 Low Gain,-16.41,10.15,0.56
484660ba-f884-4d9d-a45d-30c261d3d2e8,Meizu 16,0.25,29.73,2.62
b60e8162-c49c-4ddc-bca1-8d8b59faa9ab,Monster Audio MA-9 Alexmod Edition,6.99,42.87,0.31
af2901f8-6a8e-4d7d-82aa-b34fffe32a79,Musatoff HA-11 Hi Gain,17.12,28.43,1.14
46a6b34c-9a98-43da-8acd-bfa8b7d3b1e8,Musatoff HA-11 Low Gain,6.58,29.33,1.13
553e7e93-4ce1-4663-8f6e-442a8336850b,Musatoff HA-4,14.75,30.83,0.0
10f1cfbd-6a16-44dd-864c-06109e7cc135,Musatoff HA-5 Hi Gain,16.21,29.27,0.77
d6d1dd42-62aa-46a6-9ab7-8b024508bc35,Musatoff HA-5 Low Gain,6.58,30.2,0.89
4efdd546-f78d-465e-9a30-5d12841aa07c,Musatoff HA-5SE,17.32,32.05,1.14
1fd6be45-efda-4def-99dc-a06649b739a8,Musatoff HA-8 Hi Gain,18.29,32.2,1.05
e5fb8ec1-861d-48c9-8f40-a8deae689760,Musatoff HA-8 Low Gain,6.58,30.12,1.15
6ca09b19-32b0-4428-ba83-5693ddc57f1c,Musatoff HA-9 Hi Gain,19.84,42.52,0.21
55d6da3b-573f-4aad-a12a-12cb63982a26,Musatoff HA-9 Low Gain,7.82,43.74,0.21
86f38a5c-f797-4bdb-be77-f9f1bda6a3fb,MUSE AUDIO TU-10,-7.86,13.23,5.33
415a8357-aa2d-446f-aabf-30aa16cff822,Musiland Monitor 03 US,-3.78,27.86,0.41
39692030-5772-421d-b9a5-9a98efd5ea32,MyST DAC 1866OCU V.2,17.64,51.02,3.17
3935be11-d350-4d28-909e-bb2d3c32d52d,MyST DAC 2702 UAmp,19.38,19.36,10.5
a99ac611-65cd-4413-a7ed-8bc23efd22c7,MyST PortaDAC 1866OCUB v.3,8.67,38.24,9.98
ca462623-bede-4ab1-952d-a0416ecd229c,New Bee NB-1,-59.95,-26.05,3.01
bc22909b-406d-4061-88ea-0fd21e9b4555,Nexum AQUA,-2.91,6.34,4.78
4056b95e-f9fd-4861-ae4e-fcc256d49b21,Noname ESS ES9280C PRO,5.92,12.49,1.03
4932582c-4741-4c25-9022-5708b7939df4,Noname FDBRO,-1.46,9.53,5.88
d3d0f7d3-3685-4c1f-87e3-1b08c9cdde0f,Noname Soundcard,-0.89,-4.65,0.38
1f1dd1ef-490b-4f7e-b99b-c12e787b3ed2,Nu Force Icon HD,12.46,39.2,10.14
1e232c62-0d84-443c-b204-c76388f8ce48,Nu Force uDAC,-9.27,1.43,5.64
2f9628e7-e945-410a-859b-bf38b5c362d1,Onkyo Granbeat DP-CMX1 Balanced Out,11.9,14.28,7.2
271894dd-e2c0-43ef-854e-5726c63e8764,Onkyo Granbeat DP-CMX1 Single-ended Out,5.91,14.52,3.52
f5b713fe-e280-413d-9f1a-5f8a3b2b727f,ONN X6,-2.76,-3.83,3.05
a1ea7b19-df49-4542-8129-d67012295104,Oriolus DP100 Balanced Out,7.97,29.2,1.81
7a40f059-6808-4927-a763-1b5f5ef81892,Oriolus DP100 Single-ended Out,7.96,42.86,0.1
e96c56da-d4de-412a-9700-8d168eec67c2,Oriolus DPS-L2 Balanced Out,10.78,41.43,1.68
3e6cbc74-bfd9-424d-a260-4c45a34770ac,Oriolus DPS-L2 Single-ended Out,10.77,42.21,0.29
290837e9-9dfb-447d-a044-28f251d5c490,Pioneer XDP-300R Balanced Out,11.8,18.72,6.96
ee5e76f5-d4e8-4b90-97b1-7d11f9b2eacf,Pioneer XDP-300R Single-ended Out,5.82,18.66,3.38
230b3740-9ca7-4425-a10e-b0437027ea59,Pro-Ject Head Box DS2 B 12 High Gain Single-ended Out,18.22,30.47,6.61
53e96ab2-d88a-4a6a-a805-981969754486,Pro-Ject Head Box DS2 B 12 Low Gain Single-ended Out,18.63,30.63,48.23
d7710a52-088b-4d52-9125-87c1c511bb0a,Pro-Ject Head Box DS2 B 12 Mid Gain Single-ended Out,18.63,30.63,21.36
ecbaa6da-60d1-45ea-8920-f32cf45e9127,Pro-Ject Head Box DS2 B 18 High Gain Balanced Out,24.1,40.63,13.17
7b813eb8-f124-474c-bbcb-280c71acf24b,Pro-Ject Head Box DS2 B 18 Low Gain Balanced Out,24.1,40.63,15.8
66538582-36ea-4ab0-a2d3-ae3cead3df11,Pro-Ject Head Box DS2 B 18 Mid Gain Balanced Out,24.1,40.63,42.7
ef902cc7-af02-4512-b832-3174cff1614c,Pro-Ject Head Box S2 Digital,6.01,13.25,0.12
03b6ea46-2d23-40d2-998d-bf92af6fa0a2,Pro-Ject Pre Box S2 Digital,5.92,14.78,0.11
f7c62e81-21d3-498f-bf91-82cfa6ce8cba,QLS QA350,2.33,2.86,0.1
37e6226d-c31a-41d0-a231-31bf0f2ae4c8,QLS QA361 Double voltage Single-ended Out,7.66,24.89,0.19
93d73570-b7a9-4678-8bae-be62d6706254,QLS QA361 High voltage Balanced Out,15.6,28.03,0.33
eac75462-2f68-4395-804e-26296b286212,QLS QA361 High voltage Single-ended Out,9.64,17.97,0.19
e57d419c-06d9-4079-91c0-8b791467d887,QLS QA361 Large Current Balanced Out,14.09,24.14,0.34
5232771e-12aa-4372-9e62-75c5c1856249,QLS QA361 Large Current Single-ended Out,6.13,27.83,0.19
3287c361-c691-405c-8091-c53125a68f0c,QLS QA361 Normal Single-ended Out,8.13,21.95,0.2
86d4abdf-18b1-4d9a-bfc8-2263d2e2151e,QLS QA361 Standard Balanced Out,14.08,26.72,0.33
fa3aafac-6520-4e75-95be-d5f059173118,QLS Quloos QA390 Hi - Hi Balanced Out,18.21,38.39,4.02
214b206f-7ccc-4190-a7bb-7ff7b6c07220,QLS Quloos QA390 Hi - Low Single-ended Out,9.65,10.88,4.02
1291b386-afb8-4f77-b7aa-8ba5d22061cd,QLS Quloos QA390 Super Hi - Hi Balanced Out,22.53,44.76,0.36
4275987a-933b-4463-846a-501da3afd04f,QLS Quloos QA390 Super Hi - Hi Single-ended Out,17.55,37.74,4.06
d1f60977-5a77-43cc-b948-3f10cfe33b5d,QLS Quloos QA390 Super Hi - Low Balanced Out,14.9,9.35,0.84
0ad87d23-4f33-4c01-a837-55395d35d6a8,QLS Quloos QA390 Super Hi - Mid Balanced Out,19.87,22.02,0.77
c724a534-be49-4c08-9601-7713823fd7e7,QLS Quloos QA390 Super Hi - Mid Single-ended Out,13.84,19.93,4.17
d93272fd-99c3-4e0f-aed1-ee6f71d481e0,Qudelix 5K Balanced Out,-5.98,23.32,0.31
a3c4f60a-8c11-43da-b142-ca8795556314,Qudelix 5K Single-ended Out,-0.01,27.84,0.2
5233f498-523c-4cee-9803-b8eaadd2c2b8,Questyle QP1R H-Gain,4.44,23.3,0.17
807fc383-371f-4d3b-a6a5-9c3146531a46,RHA Bluetooth Cable (CL2 Planar),-8.04,27.27,1.14
d5fc1d8d-93e2-423a-ab6e-5998abaa8163,RME ADI-2 DAC FS 6.3 Hi Gain,19.27,47.69,0.23
2bc46835-a4c3-4b43-89ca-f84e8ee3ec2f,RME ADI-2 DAC FS Iem Mode,-3.71,32.07,0.36
b90b4f40-afaa-47ee-8881-12a5ff29b2de,S-Audio Systems Focus V2,11.63,44.74,0.21
0cb248b8-dbd3-46c6-9f04-a92b1afd341a,Sabaj D4,11.65,21.44,10.96
73ae6b89-ee23-41f8-8d0f-51ceedcaf881,Sabaj HPA1 Jack 3.5,8.91,22.78,147.85
7b2dfada-c948-40c3-8dbe-39851fe16819,Sabaj PHA1 Jack 6.3,8.05,22.13,1.07
836a5327-5c19-4a5c-b690-e706f5f92c90,Sansa Clip+,-12.01,-10.95,0.41
11d018ab-48cc-4f28-9b77-23146e997e18,Schiit Fulla AMP,-11.39,11.72,0.07
52f38eff-72cd-4a96-be59-7fa4ac19110b,Shanling M1,-1.09,6.26,1.84
8e755c43-bf79-4910-81bb-6433033c04e1,Shanling M2,4.86,30.95,4.86
9814b786-0978-4d70-bf74-da2c0890b078,Shanling M2s,5.24,32.34,4.62
982f2508-8441-4aed-a8c4-8e113b12769b,Shanling M3s Balanced Out,8.24,35.93,0.42
87d60211-74d4-4994-9c40-79df9e5308da,Shanling M3s Single-ended Out,5.22,37.24,0.24
4445549a-9bb7-47dc-a732-a04521d8c167,Shanling M5,9.12,3.82,0.14
e1c2b6ce-303a-4d7c-9574-97a707beabb8,Shanling MW 200,-1.09,22.56,0.75
5d38c643-db4f-4a66-a785-911ac444ab28,Singxer SA-1,22.63,45.46,1.25
1f85f40f-6f3f-4cdb-947f-bd7eb6e8e338,SMSL AD18,2.04,6.66,0.38
0da9a1f9-db59-430f-8198-fe13fe08341d,SMSL ivy,2.29,14.4,0.09
a30635d8-86e9-4a10-8054-01935b0c563e,SMSL M3,5.09,5.78,0.06
55bc0d0b-821a-4d91-9c60-4a1121922d47,SMSL sAp II,12.67,39.24,10.13
d955f8de-1c5a-4cf3-be65-2ac0fd9504d4,SMSL sAp VI,11.58,18.03,10.22
7c35ddb4-bad2-419c-bfca-f345cc0a37ba,SMSL sAp-9 Balanced Out,24.14,47.73,50.35
1a83faaa-bdaa-481c-91f5-0d0f5f3a83ad,SMSL sAp-9 Single-ended Out,2.77,30.49,25.26
448c2e4f-405a-419b-a6e5-b368b4f2d01c,SMSL SH-9 Balanced Out,16.55,52.45,0.11
9d99cd2c-9e69-4fc1-89c6-2f480245f95d,SMSL SH-9 Single-ended Out,16.65,52.59,0.16
a8919538-164e-4678-b598-3500b4cb298a,SMSL SP200 Hi Balanced Out,20.13,55.19,0.2
7d7de5f4-44f0-47a8-8e1e-27c0e96b80a7,SMSL SP200 Hi Gain Single-ended Out,19.22,55.09,0.14
5772fc4f-1132-404f-9ffb-8a78e8eed096,SMSL SP400 Balanced Out,23.92,50.14,0.26
cbe3883e-25f9-44f3-94f2-0afa42fb6ede,SMSL SP400 Single-ended Out,18.09,54.02,0.19
39e92d51-1825-4938-9f51-a2a886a719d9,Sony Walkman NW-A35,-12.68,6.35,3.19
67aac40b-2675-48f3-a9e6-3d26924af03e,Takstar HA 101,16.8,24.51,0.22
e1f4b076-262c-428f-b4b6-a632e3ffd517,Tecsun HD-80,3.58,8.93,24.94
16b33317-843d-4da5-8441-e4e6b9c2a963,TempoTec V1-A,-0.09,33.67,0.54
9018365a-add2-460b-a864-f70eb0d5660f,theBit OPUS 2 Balanced Out,7.51,11.56,4.49
b79d4c42-62b7-4841-aaef-25b4f527584a,theBit OPUS 2 Single-ended Out,6.69,16.03,1.99
d7c10fa3-17a0-4b15-82fe-d5293117c1cd,Topping DX7 Pro Hi Gain Balanced Out,21.12,46.01,9.4
9b4a9867-3f44-4f52-b3d7-309747b366de,Topping DX7 Pro Hi Gain Single-ended Out,15.46,42.9,4.45
497539d0-8a96-492f-ad0d-f42727c42ef1,Topping DX7 Pro Low Gain Balanced Out,15.39,45.24,9.59
8a12cfae-282f-43c2-89e4-c87c917e82a5,Topping DX7 Pro Low Gain Single-ended Out,9.37,42.11,4.57
7ad95cc1-d311-436c-bbe3-3071630758a6,Topping EX5 Hi Gain,16.06,44.35,0.08
e524975a-2755-4940-a741-c0f0838a1356,Topping L50,18.16,52.37,0.06
1e9163da-aeb3-4d17-be84-f194d801e51a,Topping NX4,11.94,22.37,0.44
f1cbae7d-d96d-4c9d-9aaa-14a456e6dec2,TurboKids TMNT,-3.85,13.75,107.4
71a7eb07-42e8-4880-8aa3-93889ad20c24,Turtle Beach Santa Cruz,0.89,3.85,11.33
16f2b37d-13ea-4f93-b00b-5d19adde82c9,Unison Research SH For Hi Mode,-7.82,27.85,0.6
982793ff-815c-4582-8235-194d666130c3,Unison Research SH For Low Mode,1.4,21.3,1.62
2caa0105-7e63-49cd-8cac-7cef9aa42433,Unison Research SH For Low Mode - Line in,-13.52,17.84,1.61
e900faa8-6666-4ee1-af88-a63453035a18,Violectric HPA V100,7.11,-1.59,0.16
bdd289ef-d1e9-48d8-a5f7-087f4069f9fc,Violectric HPA V200,24.43,45.46,0.1
5825dd3e-8ee8-42ca-8efc-9a5a1bb4f0d9,Violectric HPA V220,21.84,45.43,0.2
e848531b-282f-4b10-9e9c-27b60304854b,Violectric HPA V281 Balanced Out,30.87,38.46,0.35
4307746a-fdf1-4154-9fd0-f1d893bdb061,Violectric HPA V281 Single-ended Out,24.46,46.12,0.24
9f10eae5-46ca-40c3-a809-222d6800aafa,Violectric HPA V90,25.88,41.27,0.26
eea20ed5-7897-45d9-9678-4c58525dd646,Vorzuge VorzAMPpure II Plus,9.76,24.42,0.09
357f8ebc-a332-462c-871a-d60643677949,Walnut V3 Balanced Out,17.41,21.05,48.88
e949a38f-2cba-4966-8f36-8130f5074a24,Walnut V3 Single-ended Out,10.59,10.84,97.87
660c5b4e-3edc-48ea-8c50-a5cab3d4e1c0,Weiliang Audio U9,13.95,26.69,12.16
c9bc4542-94d5-4a0b-ab2f-ca8e63bffab3,Westone Bluetooth Cable V1 WBTV1,-8.9,13.36,5.02
33fe574b-703e-48b7-9df3-7fda96c345d0,Westone Bluetooth Cable V2 WBTV2,-12.22,23.54,0.5
e608b57a-0fc0-4539-95e9-cc3559a774f8,xDuoo D3 nano,3.03,12.74,0.12
5fa2384e-1d4a-4c49-a73c-80aa12921588,xDuoo MT-602,4.41,26.65,3.24
c8926597-dea6-4b61-b924-92dcfa88c1a0,xDuoo TA-01,13.36,18.98,7.02
bd63ca2a-8c56-451f-b7eb-f6b419bfb808,xDuoo TA-02,9.87,22.13,13.01
41759aee-e2e1-40d0-bd62-b83180bf5a89,xDuoo x10 Hi Gain,8.4,26.88,0.11
8f5d947a-863d-4bba-b185-e9df6f572edf,xDuoo x10 Low Gain,4.37,31.16,0.11
b5483745-34a0-4336-b980-33bf80036869,xDuoo X2,-5.55,23.14,0.14
cf2a17f5-48d1-472a-b5ec-ca87499f5ae1,xDuoo X20 Balanced Out,10.3,38.04,1.04
2413eaba-c049-437d-83d0-9a7a1db2a1d6,xDuoo X20 Single-ended Out,4.32,40.3,0.12
fd437328-b56c-4115-8857-55aca5ffc719,xDuoo X3 Default,-2.27,36.7,0.1
08aee451-0e69-4ac6-b720-a92c653cdc5f,xDuoo X3 Rockbox,1.07,37.0,0.11
ed414971-615a-4c5f-a6f3-9e1086fbdd28,xDuoo XD-05 Basic Hi Gain,11.15,41.85,2.27
61afa2cb-26a5-48f1-a254-bdf003f7bbcb,xDuoo XD-05 Basic Low Gain,9.94,38.99,2.27
81b7234b-648c-4464-b81e-eb3d6a7e8f7f,xDuoo XD-05 Basic Mid Gain,11.15,41.85,2.27
c2c9909d-23d7-4c53-811d-f544270abc7f,xDuoo XD-05 Default,11.96,15.5,0.22
6ac6a9c9-2313-4d91-bd4c-c6e06d8eccc9,xDuoo XD-05 Plus Hi Boost Off,12.78,16.2,2.29
7c7fc7e7-215f-4dc9-9e56-e1e6c90fd238,xDuoo XD-05 Plus Hi Boost On,18.07,15.18,2.28
8ca44c24-7a5a-4d81-b933-6d76d273c444,xDuoo XD-05 Plus Low Boost Off,9.95,19.19,2.28
bc982b14-fae8-4670-aeb7-e72079c68c77,xDuoo XD-05 Plus Low Boost On,9.96,21.07,2.28
9f1a456f-3988-47cf-91e6-aaa2c5157550,xDuoo XD-05 Plus Mid Boost Off,12.13,16.24,2.27
6acd2ba5-350e-495f-88c6-a1420e5dd3cc,xDuoo XD-05 Plus Mid Boost On,12.13,19.1,2.28
c6a1334c-db72-4465-aaeb-7f0897208dc9,xDuoo XD-05 Sanmigel Mod,11.6,20.52,0.1
28fd8cc6-47c5-4e25-90f5-5ecb1dd9b4f7,xDuoo XD05 Bal Boost Off Hi Gain Balanced Out,16.37,27.15,0.23
a791a31c-7d56-4489-86e7-cb77cdd8958c,xDuoo XD05 Bal Boost Off Hi Gain Single-ended Out,10.28,26.34,0.18
1175d57c-ec55-4ffc-be9a-7a1a3d29f002,xDuoo XD05 Bal Boost Off Low Gain Balanced Out,13.86,27.71,0.23
403be2d6-0ced-4f93-96de-07acb95096fe,xDuoo XD05 Bal Boost Off Low Gain Single-ended Out,8.26,30.26,0.15
fc5db17d-c245-4c58-a77a-0928cb02c1c0,xDuoo XD05 Bal Boost On Hi Gain Balanced Out,20.3,27.75,0.22
c57645fd-11c9-43d4-96d7-c5c71d1efd60,xDuoo XD05 Bal Boost On Hi Gain Single-ended Out,14.77,34.84,0.15
54b804e6-eeaf-4cdb-9445-07571b451687,xDuoo XD05 Bal Boost On Low Gain Balanced Out,13.85,28.94,0.23
ff516c89-9247-4195-bfaa-8d5d1af44ccd,xDuoo XD05 Bal Boost On Low Gain Single-ended Out,8.27,30.34,0.16
6d9f24ba-5a07-42ab-85dd-e645605a04ed,xDuoo XP-2 Hi Gain,8.68,22.14,0.64
317463eb-7dc5-4c36-9b36-9d8ec2f2cb8a,xDuoo XP-2 Low Gain,2.63,18.89,0.63
0514cf61-3acb-469a-b3b6-53bb6821d33d,xDuoo XP-2 Pro,2.79,27.95,0.99
6aa2e3d6-4a93-4a11-9dcc-1c68a11ab691,xDuoo XQ-10,-0.46,12.95,0.07
7e74ba6f-9642-47c4-9a9e-cc1a6aaea86c,Xiaomi Mi 9T Pro Neutron 44,-6.07,22.2,22.66
0a4d4614-d973-47a8-b6e3-3d7465fb4e1a,Xiaomi Mi A1 Neutron,-0.02,9.44,1.3
67b079b0-cad5-4cc8-a596-84caf4b7df65,Xiaomi Mi A1 VLC OpenSL ES,-84.13,-63.28,1.3
5cd127ef-9fe2-4e95-88a3-33bed8e0f777,Xiaomi Redmi Note 4,-1.88,27.77,17.09
c3933da4-c315-45a3-9f9a-3128781091f0,Xiaomi Redmi Note 4X Android 6 24 bit,-88.86,-53.27,0.76
9efd4e93-2d04-429d-8ed3-da8eb6488b5b,Xiaomi Redmi Note 4X PowerAmp,-4.75,9.17,0.74
439effe3-c389-413d-9224-cbe9a6b29457,Xiaomi Redmi Note 4X VLC OpenES,-90.17,-54.63,0.8
b10dfd6f-0e72-47e7-8ac4-e0631f4db22a,Xiaomi Redmi Note 8 Pro UAPP,-3.7,25.23,19.94
0e75617e-16fb-4340-a097-cfc95f4b85e7,Xuelin iHiFi 100,-11.12,20.48,12.62
3f50f474-b6f9-48bb-9970-45c7a5371030,Xuelin iHiFi 770 Out 1,-8.01,-5.66,10.38
