uuid,Name,"Max Voltage, dBV","Max Current, dB(mA)","Impedance , ohm"
2f8f0215-c416-4e6f-be40-d7837992ba72,Burson Audio Conductor 3X Reference Hi Level Balanced Out,6.71,37.85,0.98
c56e7a9c-fa40-417f-9da1-9f68ee8cbdda,Burson Audio Conductor 3X Reference Hi Level Single-ended Out,0.42,36.12,0.52
228a6a49-799e-4ca9-9334-e2e8fe1037dd,Cary Audio HH-1,12.89,33.3,10.55
58b30029-59f7-4798-bc0d-6feafd4308f6,Cayin HA-1AMK2 for 150-300 ohm,9.13,31.26,125.12
07c61f34-f514-4e6f-80af-252c45cba8ae,Cayin HA-1AMK2 for 30-60 ohm,11.55,34.71,57.5
95273ae2-a2bb-4690-9435-6557891c1dd1,Cayin HA-1AMK2 for 60-150 ohm,13.83,32.87,98.2
64cafc99-af69-4a02-a6af-1771b16bab6b,Cayin HA-1AMK2 for 600 ohm,11.49,28.35,201.32
b7aa5a8f-c980-4ee8-96be-1742b39b6edc,Cayin HA-1AMK2 for 8-32 ohm,6.84,33.07,23.66
d53d358b-bfa6-40b7-97c8-d0b8fb68d5aa,Cayin i5,1.56,15.82,0.91
87117c5f-0a2a-452e-84a4-996aa6593355,Cayin N3,6.46,6.1,0.58
14f8d428-fe3d-4499-a256-c466b7875d2a,Cayin N3 Pro Balanced Out,15.16,36.96,1.45
e3023d7a-f301-4ec4-8ae8-27a0d429c677,Cayin N3 Pro Transistor Mode Single-ended Out,7.09,25.17,0.83
c5c7d421-d30e-4f7d-802b-88b686bd7974,Cayin N3 Pro Triode Tube Mode Single-ended Out,-19.83,15.6,0.82
6f17ab41-c89d-444f-975b-52dfe9f83e49,Cayin N3 Pro Ultralinear Tube Mode Single-ended Out,-19.1,16.51,0.82
5e54a7d8-509f-4b70-9446-b9d0967e6f92,Cayin N5 Balanced Out,2.81,23.41,0.23
e9d9900d-9e4d-4a3e-8f24-80811422d822,Cayin N5 MK2 Balanced Out,0.89,36.57,0.39
69c4004b-3a2c-4171-8b88-6600c4d997fa,Cayin N5 MK2 Single-ended Out,-1.22,33.92,0.63
ecefc729-e604-425d-a50b-fb1952bf1ced,Cayin N5 Single-ended Out,-4.21,24.44,0.18
3dd1e45e-796c-4cbe-b4ca-3a25360d7800,Cayin N6,2.04,25.89,0.16
428ed018-3bed-4af5-9a82-2867bf375c83,Cayin N6 MK2 (E02) Hi Gain,12.02,37.88,1.95
80aa6d53-5dc7-4856-bce1-e67e5f321fe9,CEntrance DACPort HD,2.8,18.8,1.36
7ecac7f3-0081-4d85-8aec-9de22b626230,CEntrance HiFi-M8 V2 2.5 Balanced Out,-2.81,10.02,0.11
5b2aee24-559a-4510-8dd8-09af09cd6b0b,CEntrance HiFi-M8 V2 3.5 Single-ended Out,-2.82,17.11,0.11
2675d998-9761-4a3f-b0ce-67e67b34a532,CEntrance HiFi-M8 V2 6.3 Single-ended Out,0.6,17.74,1.12
f7afa433-fb05-44e0-920a-f5bca79cc44e,CEntrance HiFi-M8 V2 XLR Balanced Out,0.61,17.15,2.15
89ef4b3e-f2bc-45ac-9c2d-631b3107f956,CEntrance Mini-M8,-12.54,8.51,0.28
7eab3b25-d7b3-4f52-8450-f5f54d4ac580,Chord Hugo,13.06,25.47,0.17
665bc665-99db-4579-b9f4-1911c2a18c0d,Chord Hugo TT,11.15,38.94,0.2
6e53c715-4d5f-4e24-a4cd-9511524be17b,Chord Mojo,12.33,17.91,0.21
30b1117c-76de-4ed4-bc3c-a55ce56d1a56,Colorful Colorfly C4 Pro Jack 3.5,-4.42,30.89,10.14
6e3ef251-1bf1-4e5a-b5e3-42c3f94d2816,Colorful Colorfly C4 Pro Jack 6.3,0.95,36.77,1.2
bc4f56b4-382f-40fb-9430-faaeba350864,Colorful Colorfly CK4,-5.66,6.7,1.3
cdb8fa45-4860-4e20-83ac-3160e4e8526a,Cowon D2,-3.13,-12.88,2.27
a6e449df-cc6a-4c6e-b097-52e8502a3abc,Cowon D2+,-3.11,-17.67,1.83
ddf8e985-1e8d-457f-8b99-59ebce07372f,Cowon Plenue M2,5.97,13.95,1.16
